"lot_id","source_url","audit_row","upstream_title","mapping_kind","catalog_status","peated_ids","possible_peated_ids","catalog_bottle","reason"
"5014410","https://whiskyauctioneer.com/learn/explore-whisky/bottles/caol-ila-2011-9-year-old-0?v=5014410","1675","Caol Ila 2011 9 Year Old","final_evidence","ADDED — optional facts left blank","B52806","","Kingsbury Caol Ila","The exact distillation and bottling dates, release year and date, series, edition, malt phenol PPM and flavor profile remain unknown. Do not calculate or infer dates beyond the printed years. The 70cl package volume and individual bottle numbers are not editable Bottle identity fields. Exact clean front and back images saved locally. Upload pending because the JSON CLI does not accept multipart files."
"5040153","https://whiskyauctioneer.com/whisky-lot/5040153/hibiki-japanese-harmony-ryusui-hyakka","2344","Hibiki Japanese Harmony Ryusui-Hyakka","review_lead_only","needs_review","","","","This source URL was a review lead. The audit did not use it as final URL-level evidence for a Peated mapping."
"5040160","https://whiskyauctioneer.com/whisky-lot/5040160/hibiki-japanese-harmony-ryusui-hyakka","2344","Hibiki Japanese Harmony Ryusui-Hyakka","review_lead_only","needs_review","","","","This source URL was a review lead. The audit did not use it as final URL-level evidence for a Peated mapping."
"5068596","https://whiskyauctioneer.com/whisky-lot/5068596/macallan-x-jordi-roca-harmony-collection-rich-cacao","2321","Macallan x Jordi Roca The Harmony Collection - Rich Cacao","final_evidence","EXISTING — exact identity; data concern recorded","B1834","","Macallan x Jordi Roca The Harmony Collection - Rich Cacao","Exact marketed expression identified from the source card facts and fresh narrow production searches. The existing Bottle incorrectly carries statedAge 12. Rich Cacao is a no-age-statement release; this identity match does not approve that value. No production write."
"5231483","https://whiskyauctioneer.com/whisky-lot/5231483/caol-ila-2011-9-year-old","1675","Caol Ila 2011 9 Year Old","review_lead_only","needs_review","","","","This source URL was a review lead. The audit did not use it as final URL-level evidence for a Peated mapping."
"5231484","https://whiskyauctioneer.com/whisky-lot/5231484/caol-ila-2011-9-year-old","1675","Caol Ila 2011 9 Year Old","review_lead_only","needs_review","","","","This source URL was a review lead. The audit did not use it as final URL-level evidence for a Peated mapping."
"5231485","https://whiskyauctioneer.com/whisky-lot/5231485/caol-ila-2011-9-year-old","1675","Caol Ila 2011 9 Year Old","final_evidence","ADDED — optional facts left blank","B52806","","Kingsbury Caol Ila","The exact distillation and bottling dates, release year and date, series, edition, malt phenol PPM and flavor profile remain unknown. Do not calculate or infer dates beyond the printed years. The 70cl package volume and individual bottle numbers are not editable Bottle identity fields. Exact clean front and back images saved locally. Upload pending because the JSON CLI does not accept multipart files."
"5231486","https://whiskyauctioneer.com/whisky-lot/5231486/caol-ila-2011-9-year-old","1675","Caol Ila 2011 9 Year Old","review_lead_only","needs_review","","","","This source URL was a review lead. The audit did not use it as final URL-level evidence for a Peated mapping."
"5231487","https://whiskyauctioneer.com/whisky-lot/5231487/caol-ila-2011-9-year-old","1675","Caol Ila 2011 9 Year Old","review_lead_only","needs_review","","","","This source URL was a review lead. The audit did not use it as final URL-level evidence for a Peated mapping."
"5231488","https://whiskyauctioneer.com/whisky-lot/5231488/caol-ila-2011-9-year-old","1675","Caol Ila 2011 9 Year Old","review_lead_only","needs_review","","","","This source URL was a review lead. The audit did not use it as final URL-level evidence for a Peated mapping."
