row,status,family,peated_bottle_id,title_en,title_ja,brand,distillers,bottler,series,name,edition,category,statedAge,noAgeStatement,abv,singleCask,caskStrength,naturalColor,nonChillFiltered,maltPhenolPpm,vintageYear,bottlingYear,releaseYear,releaseMonth,releaseDay,maturation,caskNumber,outturn,market,sizes,evidence_url,evidence_note,image_source_url,image_license,notes
1,created,Core range,B57458,KANOSUKE SINGLE MALT,嘉之助シングルモルト,Kanosuke (E1097),Kanosuke (E1097),,,Single Malt,,single_malt,,true,48,false,,,true,,,,2023,1,18,"Key malt matured in re-charred American white oak ex-shochu (Mellowed Kozuru) casks, vatted with ex-sherry, ex-bourbon and red wine casks",,,"Japan; US from Aug 2024; UK, France, Germany 2024; JAL in-flight","700ml; 200ml (Lawson, from 2026-04-28)",https://kanosuke.com/products/single-malt-kanosuke-700,"Producer page: 48%, 700ml, DETAIL block (NCF). Release date 2023-01-18 from en.jpwhisky.net/new-kanosuke-2-22904/ and whiskymag.com (January 2023).",https://kanosuke.com/en/products/single-malt-kanosuke-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,Marketed as SINGLE MALT KANOSUKE (2023 label) and KANOSUKE SINGLE MALT (2025 site). Old export label 'Kanosuke Single Malt Japanese Whisky'. 200ml mini and JAL Limited Edition package are the same Bottle.
2,created,Core range,B57459,KANOSUKE HIOKI POT STILL,嘉之助 HIOKI POT STILL,Kanosuke (E1097),Hioki Distillery (E367028),,,Hioki Pot Still,,single_pot_still,,true,51,false,,,true,,,,2023,12,1,New American white oak casks and ex-bourbon barrels,,,Japan; US Aug 2024; UK,700ml,https://kanosuke.com/blogs/news/23-11-29,"Producer news: release 2023-12-01, 51%, 700ml. Spirit distilled at Komasa's Hioki Distillery from malted and unmalted barley in stainless pot stills; matured at Kanosuke.",https://kanosuke.com/en/products/kanosuke-hioki-pot-still-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,"Category single_pot_still per the /about/categories baseline (pot stills, malted and unmalted barley). Identity model rule 6: distiller is the named site Hioki Distillery (new Entity), Brand stays Kanosuke."
3,created,Core range,B57460,KANOSUKE DOUBLE DISTILLERY,嘉之助 DOUBLE DISTILLERY,Kanosuke (E1097),Kanosuke (E1097); Hioki Distillery (E367028),,,Double Distillery,,blend,,true,53,false,,,true,,,,2024,4,9,"Re-charred ex-shochu casks, new American white oak casks, ex-bourbon barrels and others; Kanosuke single malt blended with Hioki pot still whisky",,,Japan; US Aug 2024; UK,700ml,https://kanosuke.com/products/kanosuke-double-distillery-700,"Producer page: 53%, 700ml, DETAIL block. Release 2024-04-09 from en.jpwhisky.net/new-kanosuke-double-distillery-2-40091/ (lottery 04-17 to 04-22).",https://kanosuke.com/en/products/kanosuke-double-distillery-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,Blend of two company-owned distilleries (Kanosuke malt + Hioki pot still). No 2023 release exists. Shimadzu Satsuma Kiriko gift box (2025-05) is packaging only.
4,created,Core range,B57461,KANOSUKE SINGLE MALT PEATED,嘉之助シングルモルト PEATED,Kanosuke (E1097),Kanosuke (E1097),,,Single Malt Peated,,single_malt,,true,48,false,,,,,,,2025,5,22,"Peated malt whisky from re-charred ex-shochu casks and ex-bourbon barrels as key malts, vatted with other selected casks",,,Japan; export,700ml,https://kanosuke.com/blogs/news/2025-03-13,"Producer news: release 2025-05-22, 700ml, 48%, 10,450 yen; online lottery 2025-04-14 to 04-22.",https://kanosuke.com/en/products/kanosuke-single-malt-peated-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
5,created,Core range,B57462,KANOSUKE SINGLE MALT KAGOSHIMA EXCLUSIVE,嘉之助シングルモルト KAGOSHIMA EXCLUSIVE,Kanosuke (E1097),Kanosuke (E1097),,,Single Malt Kagoshima Exclusive,,single_malt,,true,48,false,,,,,,,2025,4,18,"Key malt from Kagoshima-grown Hoshun barley malted in-house, matured in re-charred ex-shochu casks; vatted with ex-bourbon and other casks",,,Kagoshima Prefecture only,700ml,https://kanosuke.com/blogs/news/25-03-10,"Producer news: release 2025-04-18, 700ml, 48%, 10,120 yen. Also Kyodo PR Wire release 202503105431.",https://kanosuke.com/en/products/kanosuke-single-malt-kagoshima-exclusive-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
6,created,Core range,B57463,KANOSUKE SINGLE MALT SHERRY CASKS VATTED,嘉之助シングルモルト SHERRY CASKS VATTED,Kanosuke (E1097),Kanosuke (E1097),,,Single Malt Sherry Casks Vatted,,single_malt,,true,48,false,,,,,,,2025,11,21,"Whiskies matured in Spanish Oloroso and Cream sherry casks, with ex-shochu casks and a touch of new American white oak",,,Japan; export,700ml,https://kanosuke.com/blogs/news/20250924,"Producer news: release 2025-11-21, 700ml, 48%, 10,450 yen.",https://kanosuke.com/en/products/kanosuke-single-malt-sherry-cask-vatted-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
7,created,Core range,B57464,KANOSUKE SINGLE MALT IPA CASK FINISH,嘉之助シングルモルト IPA CASK FINISH,Kanosuke (E1097),Kanosuke (E1097),,,Single Malt IPA Cask Finish,,single_malt,,true,48,false,,,,,,,2026,4,1,Re-charred ex-shochu cask key malt finished in two types of Double IPA casks,,,Distillery shop and official online shop only,700ml,https://kanosuke.com/blogs/news/20260310,"Producer news: distillery shop 2026-04-01, online 2026-04-10, 700ml, 48%, 11,550 yen; small batch.",https://kanosuke.com/en/products/single-malt-ipa-cask-finish-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,The '≪蒸溜所限定≫' shop page is the same product.
8,updated,Annual Limited Edition,B56976,SINGLE MALT KANOSUKE 2021 FIRST EDITION,シングルモルト嘉之助 2021 FIRST EDITION,Kanosuke (E1097),Kanosuke (E1097),,Limited Edition (S938),Single Malt,2021 First Edition,single_malt,,true,58,false,true,,true,,,2021,2021,6,16,Vatted from several casks with re-charred American white oak ex-Mellowed Kozuru shochu casks as key; unpeated; all three pot stills,,,Japan,700ml,https://kanosuke.com/en/products/single-malt-kanosuke-2021-first-edition-en,"Producer page: 58%, 700ml, label reads CASK STRENGTH, NON CHILL-FILTERED; spirit produced 2017-18. Release date 2021-06-16 from whiskymag.com/articles/kanosuke-distillery-from-shochu-to-single-malt/.",https://kanosuke.com/en/products/single-malt-kanosuke-2021-first-edition-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,"Distillers currently E1775; propose E1097. Vintage spans 2017-18 so vintageYear stays null. Whisky Nights claims 1,200 bottles (retailer, unverified; not stored)."
9,created,Annual Limited Edition,B57465,SINGLE MALT KANOSUKE 2021 SECOND EDITION,シングルモルト嘉之助 2021 SECOND EDITION,Kanosuke (E1097),Kanosuke (E1097),,Limited Edition (S938),Single Malt,2021 Second Edition,single_malt,,true,57,false,true,,,,2018,2021,2021,11,12,Vatted from several casks with ex-bourbon barrels as key; unpeated; produced in 2018,,,Japan,700ml,https://kanosuke.com/products/singlemaltkanosuke2021-2nd,"Producer page: 57%, 700ml, produced 2018. Release 2021-11-12 from en.jpwhisky.net/new-kanosuke2021-second-edition-2-10121/.",https://kanosuke.com/en/products/single-malt-kanosuke-2021-second-edition,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,
10,updated,Annual Limited Edition,B52406,SINGLE MALT KANOSUKE 2022 LIMITED EDITION,シングルモルト嘉之助 2022 LIMITED EDITION,Kanosuke (E1097),Kanosuke (E1097),,Limited Edition (S938),Single Malt,2022 Limited Edition,single_malt,,true,59,false,true,true,true,,,2022,2022,6,24,"Various oak casks, with sherry casks as the key component",,,Japan; US; UK,700ml,https://kanosuke.com/products/singlemaltkanosuke2022-limited,"Producer page: 59%, 700ml, spirit 2017-2019, sherry casks key. Planned for 2022-06-15 but moved to 2022-06-24 because the label ABV was misprinted (old-site news 2022.06.01, Wayback capture of kanosuke.com/news/2022/); secondary sources still quote June 15.",https://kanosuke.com/en/products/single-malt-kanosuke-2022-limited-edition-en,kanosuke.com: (c) KANOSUKE; no reuse licence published; identity evidence only,Bottler currently E1775 (wrong: official release has no bottler). Distillers E1775 -> E1097. Existing image has no sourceUrl/license recorded; check.
